"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"2018-09-06",1186.3,1186.3,1152,1171.44,1.8885,1171.44
"2018-09-07",1158.67,1175.26,1157.21,1164.83,1.4013,1164.83
"2018-09-10",1172.19,1174.54,1160.11,1164.64,1.1154,1164.64
"2018-09-11",1161.63,1178.68,1156.24,1177.36,1.2093,1177.36
"2018-09-12",1172.72,1178.61,1158.36,1162.82,1.2955,1162.82
"2018-09-13",1170.74,1178.61,1162.85,1175.33,1.4312,1175.33
"2018-09-14",1179.1,1180.43,1168.33,1172.53,0.944,1172.53
"2018-09-17",1170.14,1177.24,1154.03,1156.05,1.3065,1156.05
"2018-09-18",1157.09,1176.08,1157.09,1161.22,1.2036,1161.22
"2018-09-19",1164.98,1173.21,1154.58,1171.09,1.1914,1171.09
"2018-09-20",1179.99,1189.89,1173.36,1186.87,1.21,1186.87
"2018-09-21",1192,1192.21,1166.04,1166.09,4.4056,1166.09
"2018-09-24",1157.17,1178,1146.91,1173.37,1.271,1173.37
"2018-09-25",1176.15,1186.88,1168,1184.65,0.9777,1184.65
"2018-09-26",1185.15,1194.23,1174.77,1180.49,1.4623,1180.49
"2018-09-27",1186.73,1202.1,1183.63,1194.64,1.2608,1194.64
"2018-09-28",1191.87,1195.41,1184.5,1193.47,1.3806,1193.47
"2018-10-01",1199.89,1209.9,1190.3,1195.31,1.3576,1195.31
"2018-10-02",1190.96,1209.96,1186.63,1200.11,1.6879,1200.11
"2018-10-03",1205,1206.41,1193.83,1202.95,1.2562,1202.95
"2018-10-04",1195.33,1197.51,1155.58,1168.19,2.2095,1168.19
"2018-10-05",1167.5,1173.5,1145.12,1157.35,1.1843,1157.35
"2018-10-08",1150.11,1168,1127.36,1148.97,1.9324,1148.97
"2018-10-09",1146.15,1154.35,1137.57,1138.82,1.3087,1138.82
"2018-10-10",1131.08,1132.17,1081.13,1081.22,2.6757,1081.22
"2018-10-11",1072.94,1106.4,1068.27,1079.32,2.949,1079.32
"2018-10-12",1108,1115,1086.4,1110.08,2.1013,1110.08
"2018-10-15",1108.91,1113.45,1089,1092.25,1.3724,1092.25
"2018-10-16",1104.59,1124.22,1102.5,1121.28,1.9285,1121.28
"2018-10-17",1126.46,1128.99,1102.19,1115.69,1.4672,1115.69
"2018-10-18",1121.84,1121.84,1077.09,1087.97,2.0945,1087.97
"2018-10-19",1093.37,1110.36,1087.75,1096.46,1.2676,1096.46
"2018-10-22",1103.06,1112.23,1091,1101.16,1.5142,1101.16
"2018-10-23",1080.89,1107.89,1070,1103.69,1.8487,1103.69
"2018-10-24",1104.25,1106.12,1048.74,1050.71,1.9824,1050.71
"2018-10-25",1071.79,1110.98,1069.55,1095.57,2.5458,1095.57
"2018-10-26",1037.03,1106.53,1034.09,1071.47,4.1876,1071.47
"2018-10-29",1082.47,1097.04,995.83,1020.08,3.8807,1020.08
"2018-10-30",1008.46,1037.49,1000.75,1036.21,3.2127,1036.21
"2018-10-31",1059.81,1091.94,1057,1076.77,2.5298,1076.77
"2018-11-01",1075.8,1083.97,1062.46,1070,1.482,1070
"2018-11-02",1073.73,1082.97,1054.61,1057.79,1.839,1057.79
"2018-11-05",1055,1058.47,1021.24,1040.09,2.4414,1040.09
"2018-11-06",1039.48,1064.34,1038.07,1055.81,1.2333,1055.81
"2018-11-07",1069,1095.46,1065.9,1093.39,2.0584,1093.39
"2018-11-08",1091.38,1093.27,1072.2,1082.4,1.4882,1082.4
"2018-11-09",1073.99,1075.56,1053.11,1066.15,1.3432,1066.15
"2018-11-12",1061.39,1062.12,1031,1038.63,1.4718,1038.63
"2018-11-13",1043.29,1056.6,1031.15,1036.05,1.5137,1036.05
"2018-11-14",1050,1054.56,1031,1043.66,1.5659,1043.66
"2018-11-15",1044.71,1071.85,1031.78,1064.71,1.8361,1064.71
"2018-11-16",1059.41,1067,1048.98,1061.49,1.6581,1061.49
"2018-11-19",1057.2,1060.79,1016.26,1020,1.8586,1020
"2018-11-20",1000,1031.74,996.02,1025.76,2.4491,1025.76
"2018-11-21",1036.76,1048.56,1033.47,1037.61,1.5343,1037.61
"2018-11-23",1030,1037.59,1022.4,1023.88,0.6915,1023.88
