"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2018-09-06",146.88,147.66,145.54,146.39,4.2488,144.55
"2018-09-07",145.94,146.5,145.12,145.45,4.6931,143.62
"2018-09-10",146.6,147.3,145.56,145.65,3.6183,143.82
"2018-09-11",146,146.99,145.25,146.49,3.3747,144.65
"2018-09-12",146.37,147.98,146.03,146.57,4.5067,144.73
"2018-09-13",147.35,149,147.12,148.95,5.3465,147.08
"2018-09-14",148.85,149.3,147.78,148.33,3.4521,146.46
"2018-09-17",148.44,149.07,147.77,147.94,3.5519,146.08
"2018-09-18",147.76,148.99,147.47,148.56,3.6294,146.69
"2018-09-19",148.63,149.96,148.23,149.06,4.2462,147.19
"2018-09-20",149.58,151.38,149.44,151.15,5.9522,149.25
"2018-09-21",151.48,152.6,150.74,151.35,19.9475,149.45
"2018-09-24",151.1,151.2,149.46,150.03,4.265,148.14
"2018-09-25",149.91,150.41,148.36,148.91,4.3975,147.04
"2018-09-26",152.4,153.35,151.34,151.61,7.4019,149.7
"2018-09-27",152.01,152.39,151.16,151.5,3.4776,149.59
"2018-09-28",151.16,151.63,150.79,151.21,3.3058,149.31
"2018-10-01",151.71,153.42,151.71,153,3.7574,151.08
"2018-10-02",152.99,153.84,152.5,153.75,3.0299,151.82
"2018-10-03",154,154.36,152.8,153.22,3.3153,151.29
"2018-10-04",151.69,152.8,150.36,151.31,4.2379,149.41
"2018-10-05",150.9,151.79,147.87,149.03,4.6022,147.16
"2018-10-08",148.5,149.07,147.18,148.39,3.2393,146.52
"2018-10-09",148.08,148.36,146.93,147.24,3.6424,145.39
"2018-10-10",147.5,147.69,142.5,142.69,5.5477,140.9
"2018-10-11",142.62,144.19,138.78,139.02,8.7105,137.27
"2018-10-12",141.12,141.54,139.08,140.85,6.5634,139.08
"2018-10-15",140.38,142.26,140.14,141.13,4.9655,139.36
"2018-10-16",142.93,145.45,141.58,145.12,8.6955,143.29
"2018-10-17",135.89,137.15,133.42,134.05,19.464,132.36
"2018-10-18",132.73,133.4,130.04,130.55,10.0117,128.91
"2018-10-19",130.65,131.89,127.96,129.1,7.7916,127.48
"2018-10-22",129.58,130.44,128.4,130.02,5.7195,128.38
